,ECON51,ECON52,ME101,EE101A,EE102A,PHYSICS63,PHYSICS61,MATH53,MS&E120,CS106A,CS148,ME112,ME203,ME80,EE42,PHYSICS130,PHYSICS131,CS106B,CS110,ECON102A,CS103,PHYSICS43,PHYSICS120,PHYSICS121,MATH131P,MATH173,PHYSICS105,PHYSICS70,MATH171,MATH115,PSYCH1,HUMBIO3B,CS106X,ECON102B,BIO41,BIO42,CHEM35,CHEM31X,MATH42,MATH41,MATH21,MATH20,MATH19,MATH120,MATH109,ECON50,STATS116,MATH51,EE102B,ME131A,ENGR30,ME70,PHYSICS112,CHEM33,MATH220,STATS195,CME100,CHEMENG181,MATH147,MATH143,MATH148,MATH121,MATH146,CS107,EE108,ENGR14,CME102,CS210A,CHEMENG120A,CHEMENG110,CHEMENG120B,EE263,LINGUIST1,CEE101A,LINGUIST120,PHIL151,PHIL150,CS221,CS124,MS&E220,CEE180,ENGR40M,ENGR40,CS161,CS109,ENGR15,CHEM31A,PHIL80,CHEM171,CHEM131,CHEM135,MS&E125,ME216A,PHYSICS45,EE65,MATH52,PHYSICS65,MATH51M,CME192,BIO43,BIO101,HUMBIO2A,STATS60,STATS110,STATS200,PHYSICS41,CHEM173,CS229,CS131,MS&E111,CS145,PHYSICS110,PSYCH60,ENGR105,CS108,EE101B,ME161,EE114,EE214A,ECON1,CEE181,CEE182,PHYSICS41A,PHYSICS230,PHYSICS170,ENERGY101,ENERGY102,MATH51H,CS140,MATH52H,MATH113,CS147,CS142,CME104,CME106,PHYSICS107,CEE166A,CS193A,CS193P,CS224N,ME115B,ME115A,MATH104,ENGR154,BIOE41,CHEM181,CHEM151,ME216B,MATH205A,STATS141,CHEMENG100,EE222,MS&E145,MS&E245A,MS&E245G,ENGR20,CHEMENG20,EE178,EE261,CS248,CS157,CS224S,LINGUIST180,LINGUIST130A,LINGUIST130B,MATH151,EE122A,PSYCH146
ECON112,,0.03195322682001913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02735813177500575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME115A,,,0.006712210091438865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME113,,,-0.007284883230754954,,,,,,,,,0.0182085526010519,0.0013957712542629203,-0.009628551833340573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME112,,,-0.012867924467206722,,,,,,,,,,0.07411310035061998,0.18071245569927985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15003335984203736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE124,,,,0.06373393776890146,0.054551548398440855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE271,,,,0.009284992099416018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE101B,,,,0.0977010321938092,0.12331264672700666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0503189634572368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE134,,,,,0.014833434587571546,,,,,,,,,,-0.005018291437430641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE169,,,,,0.006133989897073458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00536493063762643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE261,,,,,0.06937609697706036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
