,CHEM33,CHEM31X,CHEM171,ECON102A,ECON50,MS&E120,CME100,MATH51,MS&E111,ECON102B,BIO41,CHEM35,MATH42,MATH21,MATH41,MATH20,MATH19,MATH52,ENGR154,BIO43,BIO101,HUMBIO2A,PHYSICS41,CHEM31A,CME106,ECON52,BIO42,CME102,ME131A,ENGR30,ME70,ENGR15,PHIL80,CS106A,CS148,ME203,ME115B,ME115A,PSYCH1,EE102A,EE42,CS147,CS106B,CS142,CHEM151,CHEM173,MATH171,MATH115,HUMBIO3B,CS161,PHIL151,PHIL150,PHYSICS121,CHEMENG100,ME112,ME80,ME101,PHYSICS63,PHYSICS61,MATH53,CS221,CS124,ENGR105,MATH113,PHYSICS130,PHYSICS170,ENERGY101,ENERGY102,EE114,EE214A,EE102B,CS110,LINGUIST1,CS224N,CS229,CS107,CS108,PHYSICS41A,CS140,STATS110,STATS141,STATS60,MATH120,CME104,PHYSICS43,CEE180,EE101B,MATH104,CS103,ECON51,LINGUIST120,CHEM131,CHEM135,CS109,CS106X,ENGR40M,CS145,CEE101A,ENGR14,CHEM181,MS&E145,MS&E245A,MS&E245G,PHYSICS120,MATH173,MATH131P,ENGR40,EE122A,EE101A,PHYSICS110,EE263,CHEMENG181,PHYSICS65,PHYSICS70,STATS116,PHYSICS112,MATH52H,ME161,ECON1,CEE166A,CHEMENG120A,CS248,CS193A,CS193P,PHYSICS105,PHYSICS45,EE65,MS&E125,MATH121,MATH143,MATH146,MATH147,MATH148,CHEMENG110,CHEMENG120B,CS131,MATH51H,ME216B,ME216A,ENGR20,CHEMENG20,CEE182,CEE181,EE178,EE261,PHYSICS107,MS&E220,PSYCH60,PSYCH146,EE108,STATS200
BIO41,,1.404703205752077,,,,,,,,,,1.3523387687084605,0.8070933755043846,0.0,-0.006480875697999353,0.0,0.1599196860393365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM33,,2.0417886372762646,,,,,,,,,,,,,,,,,,,,,,1.073780516855838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM173,,,1.5081094251079132,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.1897928175083097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4369159099223252,,,,,,,,,,,,,,,,,,,,,,,,0.25338060495629466,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG110,,,2.8899864752335054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM185,,,1.8718017305069414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM151,,,0.11336816143051157,,,,,,,,,1.6429622444028427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM175,,,2.2119515615838057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6058773389366952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E245G,,,,1.2899511930166827,1.1356022127867567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON137,,,,1.0240414354625222,1.6059196863196572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON178,,,,1.0142246739946905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3291939155314059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
