,CHEM31X,CHEM33,CHEM171,ECON50,ECON102A,MS&E120,CME100,MS&E111,MATH51,ECON102B,BIO41,CHEM35,MATH19,MATH20,MATH21,MATH41,MATH42,ENGR154,MATH52,BIO101,BIO43,HUMBIO2A,EE102A,EE102B,MATH109,MATH120,PHYSICS41,CHEM31A,CME106,ECON52,ME131A,ENGR30,ME70,BIO42,CME102,ENGR15,PHIL80,CS106A,PSYCH1,ME203,ME115A,ME115B,CS148,EE42,CS147,CS106B,CS142,CHEM151,CHEM173,MATH115,MATH171,HUMBIO3B,CS161,PHIL151,PHIL150,PHYSICS121,ME112,ME80,ME101,CHEMENG100,PHYSICS130,PHYSICS170,CS221,CS124,ENGR105,MATH113,PHYSICS63,PHYSICS61,MATH53,EE114,EE214A,ENERGY101,ENERGY102,ECON51,CS110,LINGUIST1,CS224N,CS229,CS107,PHYSICS41A,STATS110,STATS141,STATS60,CS108,CS140,CME104,PHYSICS43,EE101B,CEE180,CS103,MATH104,CS210A,LINGUIST120,CS109,CS106X,ENGR40M,CS145,CHEM131,CHEM135,CEE101A,ENGR14,BIOE41,CHEM181,PHYSICS131,MS&E145,MS&E245A,MS&E245G,ENGR40,EE122A,PHYSICS120,MATH131P,MATH173,PHYSICS110,EE101A,EE222,EE263,CHEMENG181,PHYSICS65,PHYSICS70,STATS116,PHYSICS112,MATH52H,ME161,CHEMENG120A,CHEMENG120B,ECON1,CEE166A,CS248,PHYSICS105,CS193A,CS193P,MATH205A,LINGUIST180,CS224S,LINGUIST130A,LINGUIST130B,CS157,MS&E125,EE65,PHYSICS45,CHEMENG110,MATH121,MATH143,MATH146,MATH147,MATH148,CS131,MATH51H,ME216B,ME216A,ENGR20,CHEMENG20,EE178,EE261,PHYSICS107,CEE182,CEE181,MS&E220,PSYCH60,PSYCH146,EE108,PHYSICS230,STATS200
MS&E121,,,,,,0.8357814102189347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0735251530687362,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E125,,,,,,0.9808915893845673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4022618863648412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME106,,,,,,,1.1258880594313807,,0.8834447724278648,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGR62,,,,,,,0.31380889019476693,,0.12550570460445726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E211,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E120,,,,,,,1.0916205727396109,,1.3870192741525327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E220,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS109,,,,,,,1.0022360267968327,,1.4688323008707591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6005217109217531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7153172533950327,,,,,1.6592177032276278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME102,,,,,,,1.5191405284536568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E111,,,,,,,0.7743615686606422,,0.9462495157437799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
