,CS106A,CEE101A,CEE101C,ENGR14,CME102,PHYSICS45,CME100,CEE181,CEE70,CEE182,MATH51,CEE180,CS106B,CHEM31A,PHYSICS41,MATH41,PHYSICS43,PHYSICS41A,MATH53,MATH52,STATS60,ENGR15,CS107,CME106,CEE176B,CME100A,MS&E145,ME80,PHIL150,PHIL80,CEE203,AA100,CS103,CS109,CS148,CS221,PSYCH30,MATH51M,ENGR30,ENGR40M,ENERGY101,CEE101B,PHYSICS46,CHEM31B,CEE183,CHEM31X,CS106L,PHYSICS44,CEE171,PHYSICS42,ME131B,MATH42,MS&E260,CHEM31AC,STATS110,CHEM33,CHEM33C,MS&E111,CS181,CME192,ME101,CS108,CS142,CEE293,ME70,EARTHSYS112,PSYCH146,CEE285A,PSYCH10,PSYCH90,PSYCH50,BIO41,CHEM35,ENERGY104,CEE265D,EE46,CEE288,CEE297M,CEE289,CEE280,CEE283,CEE285B,CME104,CS229,MATH51H,MATH108,AA241B,STATS191,STATS200,STATS116,STATS202,STATS206,CME250,BIO43,CS106X,CEE161A,ENGR50,CME102A,ECON1,MATH19,MATH20,PSYCH1,MATH21,CEE160,CS161,CS110,EE103,CS131,MATH113,PSYCH80,CS107E,CS147,CS247,CS154,CS124,ENGR40,CME103,PHYSICS23,CS348B,EE122A,EE155,CS246,CS224N,CHEMENG25B,STATS141,CS262,HUMBIO3A,CS193A,CS143,CS155,CS227B,CS231N,EE278,CS224U,CS238,MATH131P,GEOPHYS110,MATSCI152,EE136,STATS217,CS251,PSYCH45,CS210A,CS194H,CS145,EE101A,EE101B,SYMSYS100,ME210,ENGR105,ECON102A,PSYCH195,CS42,CS205A,CS103A,CS9,PHYSICS70,CS193P,EE263,CS228,CS246H,CS276,EE261,CS348A,CS168,CS210B,PHYSICS21,CS377U,MATH104,CS144,CS245,CS166,GS105,GS185,CS194,EE364A,CS41,EE364B,MS&E125,CS448B,OSPBER40M,CME364A,PHYSICS130,MATH136,CS265,PHIL151,STATS203,MATH171,MATH107,STATS315A,STATS376A,STATS263,HUMBIO4A,CS371,CS92SI,EE282,CS224D,MATH115,MATH148,MATH120,MATH121,CS261,CME263,MS&E245A,MATH205A,MATH116,MATH145,MATH151,MATH159,MATH154,STATS221,CS279,MS&E146,EE65,STATS207,STATS240,EE109,EE303,EE124,CS334A,CME305,CS267,CS263,PHIL1,CS233,CS243,ECON143,EE376A,MATH238,CS239,CS251P,CS327A,EE273,CS242,CS229T,ENERGY102,STATS215,STATS271,MS&E322,PHYSICS25,CS157,PHYSICS67,EE264,EE133,BIO42,MS&E120,MS&E121,SOC168,ME112,MATH109,CS211,CS109L,EE368,MS&E351,EE253,EE271,MATH106,CS224S,OSPPARIS40M,CS240,CS190,MATH146,MATH143,PSYCH131,PSYCH175,CS274,PHIL102,MS&E226,PHYSICS62,PHYSICS63,PHYSICS64,CS275,PHYSICS120,LINGUIST130A,PHIL181,LINGUIST230B,LINGUIST289,CHEM131,CHEM173,MS&E221,MS&E311,EE378A,AA228,BIOMEDIN214,AA229,ECON52,MS&E454,HUMBIO129S,CS248,ENGR62,CS223A,EE108,EE180,EE102A,LINGUIST1,ME115A,ME115B,PUBLPOL268,ME203,ME216A,ME216B,ME216C,ECON50,ECON102B,ECON51,CS140,PHYSICS61,EE102B,CS225A,PSYCH60,ME105,CHEM130,PSYCH101,GS4,BIOE44,OSPKYOTO40M,PHIL50,PSYCH141,EE222,ENGR10,PHYSICS65,EARTHSYS146B,PHIL186,CHEM135,CHEMENG281,EARTHSYS111,EARTHSYS101,EARTHSYS146A,ME204A,ME318,ME181,ME325,COMM108,COMM208,CHEMENG20,ENGR154,ME131A,CS102,ECON126,ECON116,CS90SI,ME204B,HUMBIO142,COMM106,MATSCI151,MCS100,HUMBIO124C,ME116M,ME161,BIOE41,STATS50,AA256,ME113,ME227,PHYSICS113,ME300A,ECON5,MATH180,ECON140,ECON111,MS&E211,ECON183,MS&E220,ECON141,CME108,PHIL180,EE178,PHYSICS43N,CS377M,EE118,PHYSICS22,CEE172,AA240B,STATS195,CEE177,LINGUIST105,PSYCH164,COMM206,ENGR240,ME140,MATH114,HUMBIO128,MS&E252,MS&E112,PSYCH60B,PSYCH60A,PSYCH95,PSYCH147,HUMBIO2A,HUMBIO3B,ENGR25B,ENGR20,BIO158,BIOE101,BIOE123,BIOE103,BIO44X,BIO153,PHYSICS26,BIOE141A,BIOE141B,BIOE42,CHEM181,CHEM183,BIOMEDIN224,BIO44Y,ESS251,BIO258,HUMBIO151R,CME195,BIO144,HUMBIO3Y,EE134,EE116,CHEMENG355,GENE224,PSYCH253,BIOE300A,EE369B,EE373A,BIO107,BIO115,CHEM134,CHEM171,PSYCH120,PSYCH121,PHIL154,CHEMENG181,BIO101,PSYCH206,BIO163,HUMBIO136,MS&E245G,PHYSICS91SI,PHYSICS45N,CHEM190,LINGUIST130B,PHIL173B,RAD260,BIOE103B,BIOMEDIN217,PHIL162,HUMBIO157,BIO156,BIO104,PHYSICS121,CME104A,PHYSICS170,EE242,EE142,PHYSICS134,PHYSICS105,ECON137,ECON112,GEOPHYS120,CME200,ECON136,CEE274A,BIOE244,MATH205B,STATS155,ME346A,PHYSICS110,PHYSICS131,MATH52H,PHYSICS262,MATH53H,PHYSICS330,PHYSICS171,PHYSICS107,MATH173,STATS219,PHYSICS112,MATSCI164,AA242A,ME260,CHEMENG100,MATH230A,CEE262A,MS&E212,EE236A,EE236B,EE369A,MATH147,PUBLPOL168,CME211,PHIL166,PHIL184,PHIL187,PHIL182,CHEMENG120B,CHEMENG110,CHEM175,CHEMENG142,CHEMENG185A,CHEMENG174,CHEMENG185B,CHEMENG150,ECON102C,AA279A,PHYSICS220,PHYSICS331,PHYSICS351,PHYSICS172,MATH236,PHYSICS108,PHYSICS372,PHYSICS212,PHYSICS373,EE320,STATS290,COMM113,PHYSICS152,MS&E251,ECON179,ECON157,PHYSICS230,PHYSICS231,CHEMENG300,BIOE454,PHYSICS160,EE216,STATS231,ECON144,ECON149,STATS167,EE107,EE114,PHIL176,EE153,EE214B,CME204,GEOPHYS224,GEOPHYS162,CME302,GS255,MS&E245B,EARTHSYS158,AA280,EE329,MATSCI196,ECON101,ECON178,MATSCI199,PHIL170,EARTHSYS258,ENERGY293B,EARTHSYS246A,CEE262C,EARTHSYS191,CEE266A,CEE363B,CME212,CME213,MS&E321,EE223,MATH162,CHEMENG120A,ECON135,ECON155,PUBLPOL104,ECON118,ECON145,ECON150,PUBLPOL105,OSPSANTG130X,ECON159,MS&E243,IPS207,ECON124,PUBLPOL107,ECON127,ECON125,ECON146,ECON121,ECON166,IPS204B,PHIL194J,PUBLPOL303D,PHIL175,ECON154,PUBLPOL102,MATH122,PHYSICS252,PHYSICS210,CS367,CS294S,CS374,ME202,BIO256,CS249A,CS240H,CS244B,PHIL359,PHIL152,ENGR155A,STATS250,MS&E130,CS244,MATH220,MATH172,MATH175,PHYSICS161,AA272C,APPPHYS273,MS&E241,BIOMEDIN210,PHIL287,HRP256,CME206,LINGUIST222A,MS&E246,EARTHSYS151,CHEM153,CHEM176,CS193W,CS232,BIOE210,STATS300A,ECON113,PHIL107B,MATH210A,CME364B,CS167,STATS270,MS&E319,CS277,BIOMEDIN215,BIOPHYS371,PHYSICS234,EE377,PHIL251,EE42,CHEM151,CS241,CHEM174,CHEM132,EE169,BIO188,LINGUIST120,EE47,EE266,EE384A,CS344,CS448Z,MATH226,MATH215A,MATH215B,PSYCH134,CS316,MATH137,CS358,MUSIC320A,PHIL150X,ECON165,BIOMEDIN260,EE378B,CHEM137,PHYSICS211,ECON128,MATH210B,BIOMEDIN225,MATH216A,MATH244,PHYSICS332,STATS267,MS&E201,CHEMENG170,CHEMENG140,CHEMENG160,MATH230B,STATS244,CS346,MATH210C,CHEM185,BIOE301C,STATS310B,STATS370,STATS311,ENERGY271,CHEM221,STATS310A,CHEM184,MS&E334,CHEM223,MATSCI163,BIOE201C,BIOE211,EE122B,BIO173,BIO189,CEE273,MATSCI190,ENGR155C,ME351A,BIOE212,CHEM287A,CEE166A,CEE166B,MI185,CHEMENG240,CHEMENG183,CEE276,BIOE311,IMMUNOL207,GS90,CEE271B,CEE274B,CHEMENG345,CHEM110,PHYSICS367,LINGUIST180,LINGUIST230A,COMM177A,CS376,CS272,MATH118,MS&E235,CEE178,EE376B,EE212,CME371,EE279,EE359,EE355,ENGR205,ECON110,PHYSICS366,PSYCH252,ENERGY160,ENERGY291,ENERGY223,GEOPHYS220,MUSIC420A,EE214A,ENGR209A,EE179,LINGUIST288,PHYSICS361,MS&E355,PSYCH193,EE336,AA279B,AA210A,GS102,GS110,EE376C,EE346,EE236C,EE234,ENERGY191,ENGR155B,CHEM275,GEOPHYS265,LINGUIST280,EE293B,APPPHYS272,AA214B,CHEM271,AA200,PHYSICS362,BIOHOPK167H,PHYSICS260,OSPPARIS40P,CEE164,CEE262D,AA241X,AA240A,MATSCI209,MATSCI208,AA241A,ME250,ME309,ME335A,ENERGY171,CEE262E,MATSCI203,ME300B,ME351B,ME262,ENERGY212,EE233,EE314A,BIOMEDIN371,CEE270,CEE278A,ME271,MS&E268,EE284,EE213,EARTHSYS164,ENERGY295,EARTHSYS251,CEE262F,ENERGY293C,ENERGY221,MATSCI193,CME309,AA212,CME306,STATS350,LINGUIST210A,STATS310C,STATS374,EE388,EARTHSYS291,MS&E262,ESS246B,ESS151,MUSIC320B,MUSIC424,HUMBIO163,EE252,PSYCH171,PSYCH178,LINGUIST205A,MS&E310,PSYCH187,CME196,STATS371,HISTORY103D,PHIL284,PSYCH266,GS111,CEE195,MATH230C,CHEMENG162,CHEMENG432,CHEMENG262,CHEMENG454,EE372,CME303,CEE271A,MATSCI251,CME181,CHEMENG242,CME257,CME338,MATSCI198,EE311,STATS305,MS&E261,MS&E295,MS&E332,CS364A,MS&E453,MS&E233,MATH234,STATS316,CHEMENG310,BIOPHYS311,PHYSICS368,MATSCI210,CEE172A,CEE169,CEE209,MATSCI205,CS247L,MATSCI195,CS377W,ECON158,ECON107,PHIL286,PUBLPOL301B,ECON226,COMM213,COMM277A,COMM273D,COMM274D,MS&E352,CS295,CEE278C,CEE205B,MATSCI321,GS103,GS171,GS190,GS180,GS104,ESS220,GEOPHYS222,GEOPHYS183,GS151,ESS221,BIOHOPK163H,ESS246A,HUMBIO112,BIO239,PUBLPOL184,COMM122,PUBLPOL204,ECON103,CEE260A,SOMGEN207,ESS112,BIO234,EE255,GENE217,CHEMENG456,ESS158,MATSCI320,EE379,PHIL252,GS270,CEE270B,CHEM187A,MUSIC422,MUSIC421A,MATSCI173,EE243,MATSCI206,BIOMEDIN212,EE254,EE392AA,GS253,ME352C,EE262,ME261,MATSCI358,MS&E294,ESS258,CHEMENG274,LINGUIST131,LINGUIST286,SOC268,ECON153,CME330,EDUC257,BIOE313,EE237,LINGUIST222B,CME207,EE316,PHIL379,LINGUIST284,CEE274D,PHYSICS364,ENERGY222,PHIL282,MATH132,CHEM297,BIOE355,CHEM225,CHEM253,MATSCI322,EE251,EE356A,EE315,EE356B,MI285,GS252,GEOPHYS251,GEOPHYS223,AA271A,EARTHSYS246B,ME300C,EE469B,CME304,CEE263B,PUBLPOL202,PUBLPOL205,MATH239,CS173,EE392T,EE304,PHIL281,EE323,EE308,CHEM187,MATH138,BIOMEDIN256,EE376D,BIOE280,AA214A,CEE200C,EE292L,EE328,EE247,STATS306A,LINGUIST250,BIOMEDIN156,ENGR207B,EE349,PSYCH279,GEOPHYS281,PSYCH104,PSYCH149,IPS203,GEOPHYS146A,ESS146A,STATS344,STATS360,BIOHOPK263H,AA270,PHIL160A,MATH248,PHIL350A,CEE263A,STATS363,CS448J,PHIL180A,MS&E317,EE382C,APPPHYS220,EE412,LINGUIST255E,ME280
CEE183,0.022372799756511824,0.021915869826359256,0.020997321331675735,0.018133634965019428,0.01743538836651511,0.0172631128467106,0.015376020455891055,0.01373421598086368,0.013099733071416143,0.013090510882524884,0.011068042973402373,0.0108604270159467,0.010768156933744786,0.008001131792015547,0.007835208528378884,0.007082966611615483,0.006775474568978163,0.006714565825159127,0.0065810976731989065,0.006436310671780541,0.00526346798442337,0.004487011037763141,0.004330757153925791,0.004293886869212776,0.004285660654733549,0.0023814575199083915,0.0023813917823487193,0.002281587213144381,0.002250340519273116,0.002250340519273116,0.0022281095754638257,0.0022281095754638257,0.0021883333513580258,0.0021883333513580258,0.0021883333513580258,0.0021883333513580258,0.002181923968233131,0.0021424238025677645,0.002105553517854749,0.002105553517854749,0.002103736686500418,0.0009286658398484753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018479507846380153,-0.0028272810190499618,-0.002904781976285662,-0.005309534122876749,-0.005309534122876749,-0.00759112133602113,-0.00759112133602113,-0.007888364526500234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS205A,0.004784455306580392,,,0.012282303513868695,0.018012475303218995,0.005485318713406326,0.048912109758710194,,-0.0037567886309057223,,0.00018549136820406124,,0.02668729800408028,0.0,0.008530620461797705,-0.003947987564469548,-0.0017988076625043827,0.0,0.005323675425719027,-0.00807856382121399,0.0,0.0,0.03945053354732317,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.06406436871403998,0.04095772509821007,-0.008998993679291727,0.030910938770838406,0.010985217748810365,0.005323675425719027,0.0,0.010493268581724682,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0015373311489367773,,,,0.005462457261875709,,0.0,0.0,0.0,0.0015311232039151822,0.0281739714631554,0.009099079730926905,,,,,,,0.0054452161405554545,0.0,0.005462457261875709,,,,-0.00392418762308102,,,,,,,0.0,0.03215248802260902,0.005484417835772079,0.0,,0.010421018130262902,0.0157546907401475,-0.002662594785439847,0.0011596292262858008,,0.0,,0.025217088824098375,,0.005272915762076994,,0.004004221913496798,-0.0038025494059694197,0.0,0.007316495965237328,0.0,,0.07294208068786662,0.041273237941047536,0.013138646160089515,0.01176446835406119,0.01175089174385371,0.010930534853961782,0.010757333597849075,0.010686719447022042,0.010612638545818332,0.010572166141112936,0.009197130814119657,0.008079494565829846,0.006497072198969023,0.005971213748646538,0.005971213748646538,0.005606410193352791,0.005606410193352791,0.005485318713406326,0.005484417835772079,0.005484417835772079,0.005462457261875709,0.005462457261875709,0.005462457261875709,0.005403635686600029,0.005333672609884601,0.005323675425719027,0.005323675425719027,0.005272915762076994,0.005272915762076994,0.005272915762076994,0.005272915762076994,0.005272915762076994,0.005272915762076994,0.005272915762076994,0.005272915762076994,0.005238493531228334,0.005182524599034568,0.005167422405262877,0.005167422405262877,0.005167422405262877,0.004480366676320782,0.001834857017118534,0.001682222570271771,0.001619536245356575,0.0012546305651663294,0.0012546305651663294,0.001194051457134461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047869477086085534,-0.0025283183940524,-0.0026695570579146903,-0.0026695570579146903,-0.0026695570579146903,-0.002901087877835116,-0.0038025494059694197,-0.0038403038884032618,-0.0038403038884032618,-0.0038403038884032618,-0.0038403038884032618,-0.0038403038884032618,-0.0038403038884032618,-0.0038403038884032618,-0.004078864304942533,-0.004078864304942533,-0.004078864304942533,-0.004212978613496308,-0.004307010644979732,-0.004351779628186461,-0.004351779628186461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME115B,0.03876084461863244,,,0.0563224111293702,0.018411974395336074,0.04505534911350274,0.028882574648458417,0.0,0.0012232100078524025,0.0,0.00747122927788876,,0.012960972024091763,-0.00019939521820273198,0.00290256054941735,0.011422833783798433,0.0331172380825037,-0.015450509588207356,0.004103569812523719,0.0014781054878322743,0.007151169396554197,0.0009967772960724655,0.007540097417279508,0.001295487878057283,0.0,0.011277586146745996,0.0,0.01937528189650117,0.0014493030973802745,0.0014133089066487759,0.0,0.0,0.01416120279242877,0.006689050097309485,0.005661022425095517,0.0,0.0055184810105772435,0.003980556622500313,0.009512475958115257,0.017597674778521193,0.0,0.001513355509922865,0.0,0.007695401218873446,,0.0013895524991338357,0.0,0.0,,0.0,0.0,0.014080356004664053,0.0,0.0,0.0,0.0044126251628657165,0.0,0.0014609863454114972,0.0,0.0,-0.00751249830523571,0.0015391980731231194,0.0038119883951914383,,0.0014010558818841588,0.0015596574561189756,0.0012798258491540909,,0.001339014760507605,-0.008525018236766001,0.011426917237582029,0.0,0.0,,0.0,0.0015116708498391983,,,,,,,0.0,0.0,0.0,0.0014781054878322743,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0027838293815156596,,0.0026198878289777796,-0.0070842198199208735,0.02550582896262669,0.02635498155753927,0.010804945412061964,0.05078121095225168,0.026268235492009614,,0.001295487878057283,0.0,0.001295487878057283,0.0,0.0014781054878322743,0.012129588007855407,0.003933424230121766,-0.002994422410792307,0.0,,0.0,0.0013817052309769969,0.0028078145432143702,0.0,0.0014781054878322743,,,0.0,,,,,-0.013843033476539125,0.0013941797522017414,,0.0,0.0,,,0.0,0.0,,0.0,,,,,-0.004548247074234227,,0.0,0.0,0.0,,-0.00132754968125367,0.0012541138284770156,0.0,0.002815031197400645,0.0,0.0,,0.0,0.0,0.001339014760507605,0.0,,,,,,,,,-0.008363232007416867,0.0,0.0,,,,,,,,0.0,,0.0,0.0012481739157147605,0.0,0.0,,,,0.0,,,0.0,,,,-0.01240673792688111,,,,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0028792422221879535,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,0.0013607982495558114,0.0,0.0,0.0,,0.0,0.002840629379789033,-0.018416726611198826,0.0,,0.083090872915592,-0.022459103419073798,0.0,0.0,0.00421521554065757,0.0,0.0,,0.0,,,0.013372718369568097,0.0054170081674921825,0.0016434719535604384,0.0015591510440542658,0.001515488237639073,0.0014919533309357958,0.0014822303586706717,0.0014147965560052935,0.0013291816263117913,0.0012028348803710376,0.001189335652212015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004105059034309634,-0.005633685210846463,-0.005885389678665548,-0.006728387360609479,-0.009695133374459259,-0.013843033476539125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
